
2025-12-30,101,Rahul,Present
2025-12-30,102,Aditi,Present
2025-12-30,103,Kiran,Present
2025-12-30,104,Sneha,Absent
2025-12-30,105,Arjun,Absent
2025-12-30,101,Rahul,Present
2025-12-30,102,Aditi,Present
2025-12-30,103,Kiran,Present
2025-12-30,104,Sneha,Absent
2025-12-30,105,Arjun,Absent
2025-12-30,101,Naman,Present
2025-12-30,102,Megha,Present
2025-12-30,103,Monisha,Absent
2025-12-30,104,Farhaan,Absent
2025-12-30,105,Navaneet,Present
2025-12-30,101,Naman,Present
2025-12-30,102,Megha,Present
2025-12-30,103,Monisha,Absent
2025-12-30,104,Farhaan,Absent
2025-12-30,105,Navaneet,Present
